minority_frac,trial,strategy,ops_retained,info_retention,tauhat
0.2,2,leader,0.6666666666666666,0.9556159420289855,0.044384057971014496
0.2,2,lww,1.0,0.9284420289855072,0.07155797101449275
0.2,2,ranked_pairs,1.0,0.9284420289855072,0.07155797101449275
0.2,3,leader,0.75,0.938858695652174,0.06114130434782609
0.2,3,lww,1.0,0.9189311594202898,0.08106884057971014
0.2,3,ranked_pairs,1.0,0.9189311594202898,0.08106884057971014
0.2,4,leader,0.875,0.9198369565217391,0.08016304347826086
0.2,4,lww,1.0,0.9193840579710145,0.0806159420289855
0.2,4,ranked_pairs,1.0,0.9193840579710145,0.0806159420289855
0.2,5,leader,0.8333333333333334,0.8876811594202898,0.11231884057971014
0.2,5,lww,1.0,0.916213768115942,0.08378623188405797
0.2,5,ranked_pairs,1.0,0.916213768115942,0.08378623188405797
0.2,6,leader,0.6666666666666666,0.9338768115942029,0.0661231884057971
0.2,6,lww,1.0,0.9184782608695652,0.08152173913043478
0.2,6,ranked_pairs,1.0,0.9184782608695652,0.08152173913043478
0.2,7,leader,0.7083333333333334,0.9433876811594203,0.05661231884057971
0.2,7,lww,1.0,0.9307065217391304,0.06929347826086957
0.2,7,ranked_pairs,1.0,0.9307065217391304,0.06929347826086957
0.2,8,leader,0.6666666666666666,0.9221014492753623,0.07789855072463768
0.2,8,lww,1.0,0.9166666666666666,0.08333333333333333
0.2,8,ranked_pairs,1.0,0.9166666666666666,0.08333333333333333
0.2,9,leader,0.8333333333333334,0.8976449275362319,0.10235507246376811
0.2,9,lww,1.0,0.917572463768116,0.08242753623188406
0.2,9,ranked_pairs,1.0,0.917572463768116,0.08242753623188406
0.2,10,leader,0.625,0.9628623188405797,0.03713768115942029
0.2,10,lww,1.0,0.9211956521739131,0.07880434782608696
0.2,10,ranked_pairs,1.0,0.9211956521739131,0.07880434782608696
0.2,11,leader,0.5416666666666666,0.9746376811594203,0.025362318840579712
0.2,11,lww,1.0,0.916213768115942,0.08378623188405797
0.2,11,ranked_pairs,1.0,0.916213768115942,0.08378623188405797
0.2,12,leader,0.75,0.958786231884058,0.04121376811594203
0.2,12,lww,1.0,0.9184782608695652,0.08152173913043478
0.2,12,ranked_pairs,1.0,0.9184782608695652,0.08152173913043478
0.2,13,leader,0.625,0.9592391304347826,0.04076086956521739
0.2,13,lww,1.0,0.9225543478260869,0.07744565217391304
0.2,13,ranked_pairs,1.0,0.9225543478260869,0.07744565217391304
0.2,14,leader,0.875,0.9375,0.0625
0.2,14,lww,1.0,0.9365942028985508,0.06340579710144928
0.2,14,ranked_pairs,1.0,0.9365942028985508,0.06340579710144928
