conflict,trial,strategy,M,causal_density,tau_causal,tau_contested,tauhat,info_retention
high,8,leader,24,0.12318840579710146,0,179,0.08106884057971014,0.9189311594202898
high,8,ranked_pairs,24,0.12318840579710146,0,164,0.07427536231884058,0.9257246376811594
high,9,lww,24,0.07971014492753623,0,179,0.08106884057971014,0.9189311594202898
high,9,vc,24,0.07971014492753623,0,981,0.44429347826086957,0.5557065217391304
high,9,crdt_pure,24,0.07971014492753623,0,179,0.08106884057971014,0.9189311594202898
high,9,crdt_lww,24,0.07971014492753623,0,179,0.08106884057971014,0.9189311594202898
high,9,leader,24,0.07971014492753623,0,98,0.044384057971014496,0.9556159420289855
high,9,ranked_pairs,24,0.07971014492753623,0,179,0.08106884057971014,0.9189311594202898
high,10,lww,24,0.08333333333333333,0,184,0.08333333333333333,0.9166666666666666
high,10,vc,24,0.08333333333333333,0,1064,0.48188405797101447,0.5181159420289856
high,10,crdt_pure,24,0.08333333333333333,0,184,0.08333333333333333,0.9166666666666666
high,10,crdt_lww,24,0.08333333333333333,0,184,0.08333333333333333,0.9166666666666666
high,10,leader,24,0.08333333333333333,0,80,0.036231884057971016,0.9637681159420289
high,10,ranked_pairs,24,0.08333333333333333,0,184,0.08333333333333333,0.9166666666666666
high,11,lww,24,0.07246376811594203,0,180,0.08152173913043478,0.9184782608695652
high,11,vc,24,0.07246376811594203,0,808,0.36594202898550726,0.6340579710144927
high,11,crdt_pure,24,0.07246376811594203,0,180,0.08152173913043478,0.9184782608695652
high,11,crdt_lww,24,0.07246376811594203,0,180,0.08152173913043478,0.9184782608695652
high,11,leader,24,0.07246376811594203,0,74,0.03351449275362319,0.9664855072463768
high,11,ranked_pairs,24,0.07246376811594203,0,180,0.08152173913043478,0.9184782608695652
high,12,lww,24,0.08695652173913043,0,158,0.07155797101449275,0.9284420289855072
high,12,vc,24,0.08695652173913043,0,652,0.29528985507246375,0.7047101449275363
high,12,crdt_pure,24,0.08695652173913043,0,158,0.07155797101449275,0.9284420289855072
high,12,crdt_lww,24,0.08695652173913043,0,158,0.07155797101449275,0.9284420289855072
high,12,leader,24,0.08695652173913043,0,172,0.07789855072463768,0.9221014492753623
high,12,ranked_pairs,24,0.08695652173913043,0,158,0.07155797101449275,0.9284420289855072
high,13,lww,24,0.11231884057971014,0,182,0.08242753623188406,0.917572463768116
high,13,vc,24,0.11231884057971014,0,632,0.286231884057971,0.713768115942029
high,13,crdt_pure,24,0.11231884057971014,0,182,0.08242753623188406,0.917572463768116
high,13,crdt_lww,24,0.11231884057971014,0,182,0.08242753623188406,0.917572463768116
high,13,leader,24,0.11231884057971014,0,190,0.08605072463768115,0.9139492753623188
high,13,ranked_pairs,24,0.11231884057971014,0,182,0.08242753623188406,0.917572463768116
high,14,lww,24,0.12681159420289856,0,176,0.07971014492753623,0.9202898550724637
high,14,vc,24,0.12681159420289856,0,904,0.40942028985507245,0.5905797101449275
high,14,crdt_pure,24,0.12681159420289856,0,176,0.07971014492753623,0.9202898550724637
high,14,crdt_lww,24,0.12681159420289856,0,176,0.07971014492753623,0.9202898550724637
high,14,leader,24,0.12681159420289856,0,138,0.0625,0.9375
high,14,ranked_pairs,24,0.12681159420289856,0,176,0.07971014492753623,0.9202898550724637
high,15,lww,24,0.09057971014492754,0,190,0.08605072463768115,0.9139492753623188
high,15,vc,24,0.09057971014492754,0,942,0.4266304347826087,0.5733695652173914
high,15,crdt_pure,24,0.09057971014492754,0,190,0.08605072463768115,0.9139492753623188
high,15,crdt_lww,24,0.09057971014492754,0,190,0.08605072463768115,0.9139492753623188
high,15,leader,24,0.09057971014492754,0,279,0.12635869565217392,0.873641304347826
high,15,ranked_pairs,24,0.09057971014492754,0,190,0.08605072463768115,0.9139492753623188
high,16,lww,24,0.12318840579710146,0,194,0.08786231884057971,0.9121376811594203
high,16,vc,24,0.12318840579710146,0,844,0.3822463768115942,0.6177536231884058
high,16,crdt_pure,24,0.12318840579710146,0,194,0.08786231884057971,0.9121376811594203
