trial,strategy,M,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms
27,ranked_pairs,24,1.0,1.0,0.9211956521739131,0,174,1.0,0.3232758620689655,3.576699997211108
28,lww,24,1.0,1.0,0.9121376811594203,0,194,1.0,0.2190721649484536,0.05570000212173909
28,vc,24,1.0,0.875,0.5932971014492754,0,898,1.0,0.07015590200445435,0.42469999971217476
28,crdt_pure,24,1.0,0.875,0.9121376811594203,0,194,1.0,0.2190721649484536,0.09259999933419749
28,crdt_lww,24,1.0,1.0,0.9121376811594203,0,194,1.0,0.2190721649484536,0.06110000322223641
28,leader,24,0.75,1.0,0.9057971014492754,0,208,1.0,0.296875,0.037099998735357076
28,ranked_pairs,24,1.0,1.0,0.9121376811594203,0,194,1.0,0.2190721649484536,3.639800001110416
29,lww,24,1.0,1.0,0.9193840579710145,0,178,0.75,0.3342696629213483,0.05819999933009967
29,vc,24,1.0,0.9166666666666666,0.5969202898550725,0,890,0.75,0.060674157303370786,0.17360000128974207
29,crdt_pure,24,1.0,0.9166666666666666,0.9193840579710145,0,178,0.75,0.3342696629213483,0.07819999882485718
29,crdt_lww,24,1.0,1.0,0.9193840579710145,0,178,0.75,0.3342696629213483,0.06770000254618935
29,leader,24,0.625,1.0,0.9624094202898551,0,83,0.6666666666666666,0.4382530120481928,0.03640000068116933
29,ranked_pairs,24,1.0,1.0,0.9193840579710145,0,178,0.75,0.3342696629213483,5.1158999995095655
