conflict,trial,strategy,tau_causal,tau_contested,info_retention,repair_swaps
high,19,leader,0,1.0,0.967741935483871,
high,19,ranked_pairs,0,0.0,1.0,
high,19,rp_unconstrained,0,0.0,1.0,4.0
high,20,lww,0,1.0,0.9761904761904762,
high,20,vc,0,4.0,0.9047619047619048,
high,20,crdt_pure,0,1.0,0.9761904761904762,
high,20,crdt_lww,0,1.0,0.9761904761904762,
high,20,leader,0,0.0,1.0,
high,20,ranked_pairs,0,0.0,1.0,
high,20,rp_unconstrained,0,0.0,1.0,2.0
high,21,lww,0,0.0,1.0,
high,21,vc,0,11.0,0.7105263157894737,
high,21,crdt_pure,0,0.0,1.0,
high,21,crdt_lww,0,0.0,1.0,
high,21,leader,0,0.0,1.0,
high,21,ranked_pairs,0,0.0,1.0,
high,21,rp_unconstrained,0,0.0,1.0,5.0
high,22,lww,0,0.0,1.0,
high,22,vc,0,8.0,0.75,
high,22,crdt_pure,0,0.0,1.0,
high,22,crdt_lww,0,0.0,1.0,
high,22,leader,0,0.0,1.0,
high,22,ranked_pairs,0,0.0,1.0,
high,22,rp_unconstrained,0,0.0,1.0,5.0
high,23,lww,0,0.0,1.0,
high,23,vc,0,11.0,0.6764705882352942,
high,23,crdt_pure,0,0.0,1.0,
high,23,crdt_lww,0,0.0,1.0,
high,23,leader,0,0.0,1.0,
high,23,ranked_pairs,0,0.0,1.0,
high,23,rp_unconstrained,0,0.0,1.0,0.0
high,24,lww,0,0.0,1.0,
high,24,vc,0,13.0,0.5806451612903225,
high,24,crdt_pure,0,0.0,1.0,
high,24,crdt_lww,0,0.0,1.0,
high,24,leader,0,0.0,1.0,
high,24,ranked_pairs,0,0.0,1.0,
high,24,rp_unconstrained,0,0.0,1.0,7.0
high,25,lww,0,1.0,0.9666666666666667,
high,25,vc,0,7.0,0.7666666666666666,
high,25,crdt_pure,0,1.0,0.9666666666666667,
high,25,crdt_lww,0,1.0,0.9666666666666667,
high,25,leader,0,0.0,1.0,
high,25,ranked_pairs,0,0.0,1.0,
high,25,rp_unconstrained,0,0.0,1.0,1.0
high,26,lww,0,2.0,0.9259259259259259,
high,26,vc,0,5.0,0.8148148148148149,
high,26,crdt_pure,0,2.0,0.9259259259259259,
high,26,crdt_lww,0,2.0,0.9259259259259259,
high,26,leader,0,1.0,0.962962962962963,
high,26,ranked_pairs,0,0.0,1.0,
high,26,rp_unconstrained,0,0.0,1.0,7.0
high,27,lww,0,0.0,1.0,
high,27,vc,0,1.0,0.9655172413793104,
high,27,crdt_pure,0,0.0,1.0,
high,27,crdt_lww,0,0.0,1.0,
high,27,leader,0,0.0,1.0,
high,27,ranked_pairs,0,0.0,1.0,
high,27,rp_unconstrained,0,0.0,1.0,2.0
high,28,lww,0,2.0,0.9428571428571428,
high,28,vc,0,12.0,0.6571428571428571,
high,28,crdt_pure,0,2.0,0.9428571428571428,
high,28,crdt_lww,0,2.0,0.9428571428571428,
high,28,leader,0,2.0,0.9428571428571428,
high,28,ranked_pairs,0,0.0,1.0,
high,28,rp_unconstrained,0,0.0,1.0,4.0
high,29,lww,0,1.0,0.9722222222222222,
high,29,vc,0,6.0,0.8333333333333334,
high,29,crdt_pure,0,1.0,0.9722222222222222,
high,29,crdt_lww,0,1.0,0.9722222222222222,
high,29,leader,0,0.0,1.0,
high,29,ranked_pairs,0,0.0,1.0,
high,29,rp_unconstrained,0,0.0,1.0,4.0
